Name,Location,ratings,Features,Price,Description,Images,Guests,
The Radh Hotel,kandy,6,"Spa and wellness center,Fitness center,Restaurant,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Coffee shop,Wi-Fi available in all areas,Flat-screen TV,[Hotel to kandy lake 0.2m Hotel to temple of the sacred tooth relic 50 mHotel to royal palace of kandy 100mHotel to church of st. Pauls 100m Hotel to international buddhist museum 200m Hotel to udawattakele forest reserve 0.7kmHotel to royal botanical…iHotelier/iStayRead more]",137,Hotel to kandy lake 0.2m Hotel to temple of the sacred tooth relic 50 mHotel to royal palace of kandy 100mHotel to church of st. Pauls 100m Hotel to international buddhist museum 200m Hotel to udawattakele forest reserve 0.7kmHotel to royal botanical…iHotelier/iStayRead more,"'https://content.r9cdn.net/rimg/himg/c5/05/93/expediav2-4269837-c0cab5-213893.jpg?width=1020&height=1020&xhint=500&yhint=384&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3b/1f/22/expediav2-4269837-1684508518-362324.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/50/bc/a1/hotelsdotcom-958515072-513e1ecd_w-027503.jpg?width=1020&height=1020&xhint=1000&yhint=893&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/34/11/6c/expediav2-4269837-a7390b-442251.jpg?width=1020&height=1020&xhint=333&yhint=560&crop=true&watermarkheight=28&watermarkpadding=10'",4,
The Glenrock,belihuloya,8,"Outdoor pool,Indoor pool,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Valet parking,Free parking,Business center,[This 4-star hotel is 0.1 mi (0.2 km) from Horton Plains National Park and 21.8 mi (35.1 km) from Udawalawe National Park. Featured amenities include express check-out, a 24-hour front desk, and coffee/tea in a common area. Free self parking is availa…Hotels.comRead more]",156,"This 4-star hotel is 0.1 mi (0.2 km) from Horton Plains National Park and 21.8 mi (35.1 km) from Udawalawe National Park. Featured amenities include express check-out, a 24-hour front desk, and coffee/tea in a common area. Free self parking is availa…Hotels.comRead more","'/rimg/himg/06/37/02/expediav2-2538066-1405602418-625098.jpg?width=510&height=510&crop=true', '/rimg/himg/53/7c/2e/expediav2-2538066-1430313460-644825.jpg?width=510&height=510&crop=true', '/rimg/himg/72/0f/8c/expediav2-2538066-01a2d6-636426.jpg?width=510&height=510&crop=true', '/rimg/himg/fb/d9/92/expediav2-2538066-1117211274-604446.jpg?width=510&height=510&crop=true'",4,
Pegasus Reef Hotel,wattala,10,"Private beach,Outdoor pool,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Coffee shop,[Pegasus Reef Hotel is a 10-minute drive from Colombo’s city centre and only 200 m from the Helakanda Beach. It offers an outdoor pool, 3 dining options and free parking. The air-conditioned rooms are fitted with cable TV, a minibar and an in-room saf…WebBedsRead more]",58,"Pegasus Reef Hotel is a 10-minute drive from Colombo’s city centre and only 200 m from the Helakanda Beach. It offers an outdoor pool, 3 dining options and free parking. The air-conditioned rooms are fitted with cable TV, a minibar and an in-room saf…WebBedsRead more","'https://content.r9cdn.net/rimg/himg/2f/e9/61/expediav2-76694-2755764485-629023.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/kimg/22/d4/23fed0856877737f.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4a/f0/ec/expediav2-76694-1276156862-569808.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/kimg/22/d4/85fae092d4583fbc.jpg?width=1020&height=1020&xhint=400&yhint=464&crop=true&watermarkheight=28&watermarkpadding=10'",5,
Jasmine Breeze - 4 Bedroom Villa,colombo,10,"[Located under the shadow of the Sigiriya Rock Fortress, within the UNESCO World Heritage Site, the Sigiriya Nature Reserve and in the heart of the Cultural Triangle - Hotel Sigiriya is the perfect vantage point for travellers looking to step back in …WebBedsRead more]",78,"Located under the shadow of the Sigiriya Rock Fortress, within the UNESCO World Heritage Site, the Sigiriya Nature Reserve and in the heart of the Cultural Triangle - Hotel Sigiriya is the perfect vantage point for travellers looking to step back in …WebBedsRead more","'https://content.r9cdn.net/rimg/himg/6e/7b/ad/expediav2-164690-700430572-416112.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e1/d7/81/expediav2-164690-db8263-026694.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/8b/6f/22/expediav2-164690-1022077010-438004.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/98/ab/1f/expediav2-164690-3202046930-595912.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",5,
Hotel Sigiriya,sigiriya,10,"Outdoor pool,Spa and wellness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Free parking,Business center,[Amethyst Resort, Passikudah! An undiscovered haven, nestled on the shores of one of the longest stretches of shallow coastline in the world. Explore the untouched bay fringed with a coral reef; teeming with a myriad of aquatic sea life, flora and fau…WebBedsRead more]",411,"Amethyst Resort, Passikudah! An undiscovered haven, nestled on the shores of one of the longest stretches of shallow coastline in the world. Explore the untouched bay fringed with a coral reef; teeming with a myriad of aquatic sea life, flora and fau…WebBedsRead more","'https://content.r9cdn.net/rimg/himg/83/da/ee/hotelsdotcom-485927-aed406d6_w-790160.jpg?width=1020&height=1020&xhint=1080&yhint=666&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3d/31/0f/expediav2-519777-1a60f1-081128.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/09/f6/da/expediav2-519777-beb196-043438.jpg?width=1020&height=1020&xhint=600&yhint=281&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/70/5e/27/expediav2-519777-86ec81-143753.jpg?width=1020&height=1020&xhint=500&yhint=384&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Amethyst Resort Passikudah,kalkudah,7,"Private beach,Water sport facilities (on site),Snorkeling,Outdoor pool,Indoor pool,Water slide,Restaurant,Bar/Lounge,Room service,Bicycle rental,[Stop at SEVEN ELEVEN HOTEL & RESTAURANT to discover the wonders of Colombo. The property offers a high standard of service and amenities to suit the individual needs of all travelers. Facilities like free Wi-Fi in all rooms, 24-hour room service, 24-…AgodaRead more]",66,"Stop at SEVEN ELEVEN HOTEL & RESTAURANT to discover the wonders of Colombo. The property offers a high standard of service and amenities to suit the individual needs of all travelers. Facilities like free Wi-Fi in all rooms, 24-hour room service, 24-…AgodaRead more","'https://content.r9cdn.net/rimg/himg/a2/ea/77/expediav2-20159144-968889aa_z-807483.jpg?width=1020&height=1020&xhint=560&yhint=321&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a2/ea/77/expediav2-20159144-79b6d48a_z-166105.jpg?width=1020&height=1020&xhint=460&yhint=297&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a2/ea/77/expediav2-20159144-cd8f5442_z-189754.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a2/ea/77/expediav2-20159144-63ba57ff_z-120163.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",4,
Grand 7 Hotel Kesbewa,piliyandala,7,"Outdoor pool,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Coffee machine,Flat-screen TV,Free toiletries,Airport shuttle,Parking,[This luxurious city hotel offers a peaceful location by the Mahaweli River and in an idyllic hilly landscape well known for its local handicrafts. There is a wonderful lake in the neighbourhood, situated around 5 km away. It takes a mere 5 minutes to…WebBedsRead more]",57,"This luxurious city hotel offers a peaceful location by the Mahaweli River and in an idyllic hilly landscape well known for its local handicrafts. There is a wonderful lake in the neighbourhood, situated around 5 km away. It takes a mere 5 minutes to…WebBedsRead more","'/rimg/himg/8a/7b/6e/expediav2-84885-2b55a1-760135.jpg?width=510&height=510&crop=true', '/rimg/himg/81/62/c6/expediav2-84885-7cfd2f-659689.jpg?width=510&height=510&crop=true', '/rimg/himg/59/c1/b1/expediav2-84885-38ed7f-867907.jpg?width=510&height=510&crop=true', '/rimg/himg/be/a9/44/expediav2-84885-8c5db5-800163.jpg?width=510&height=510&crop=true'",2,
Mahaweli Reach Hotel,kandy,10,"Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Valet parking,[Located in Colombo, this welcoming vacation home brings it all within your reach. With the propertys convenient onsite parking, youll be ready to make the quick 6-minute drive to Dehiwala Zoological Garden or the 7-minute drive to Majestic City. As…ExpediaRead more]",205,"Located in Colombo, this welcoming vacation home brings it all within your reach. With the propertys convenient onsite parking, youll be ready to make the quick 6-minute drive to Dehiwala Zoological Garden or the 7-minute drive to Majestic City. As…ExpediaRead more","'https://content.r9cdn.net/rimg/himg/0f/52/e4/hotelsdotcom-1423273856-f9a49551_w-274501.jpg?width=1020&height=1020&xhint=512&yhint=398&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/86/65/24/expediav2-44446058-4cf4907a_z-806671.jpg?width=1020&height=1020&xhint=281&yhint=460&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/86/65/24/expediav2-44446058-f2878cb0_z-586527.jpg?width=1020&height=1020&xhint=500&yhint=390&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c1/75/19/expediav2-467373-6c4cfa-386270.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Occazia Residence,colombo,7,"City view,Kitchen,Kitchenette,Terrace/Patio,Balcony,Outdoor dining area,Air-conditioned,Laundry facilities,Washing machine,Tumble dryer,[The 4.5-star Ocean Edge Suites & Hotel Colombo offers comfort and convenience whether youre on business or holiday in Colombo. Offering a variety of facilities and services, the hotel provides all you need for a good nights sleep. Service-minded st…priceline.com]",70,"The 4.5-star Ocean Edge Suites & Hotel Colombo offers comfort and convenience whether youre on business or holiday in Colombo. Offering a variety of facilities and services, the hotel provides all you need for a good nights sleep. Service-minded st…priceline.com","'https://content.r9cdn.net/rimg/himg/c5/10/ad/expediav2-2477461-c659a2-955061.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1a/d2/53/expediav2-2477461-b446ce-936814.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6c/15/4c/expediav2-2477461-bc4c26-973567.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/24/77/9e/expediav2-2477461-40b2cb-093763.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Villa Lv29,colombo,6,"[This tented cabin is located at a beach resort near Batticaloa, Sri Lanka, and can provide two to four guests with an idyllic beachside getaway surrounded by an equally idyllic seaside setting. Boasting picturesque views of Kalkudah Beachs turquoise…GlampingHubRead more]",162,"This tented cabin is located at a beach resort near Batticaloa, Sri Lanka, and can provide two to four guests with an idyllic beachside getaway surrounded by an equally idyllic seaside setting. Boasting picturesque views of Kalkudah Beachs turquoise…GlampingHubRead more","'https://content.r9cdn.net/rimg/himg/96/ca/29/expediav2-3853510-53b5c9-084023.jpg?width=1020&height=1020&xhint=520&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3d/40/1c/expediav2-3853510-030ccf-853540.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/22/f8/c9/expediav2-3853510-70be3d-577685.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/5f/43/d4/expediav2-3853510-bd52d2-036629.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",1,
Ocean Edge Suites & Hotel Colombo,colombo,9,"Indoor pool,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Free parking,Wi-Fi available in all areas,Flat-screen TV,[Overlooking stretches of unspoiled beach, find your heaven on Sri Lankas eastern coast. Set amidst the beautiful shores of Pasikudah Bay, Amaya Beach Resort & Spa Sri Lanka with its ever attentive staff, large guest rooms, suites and endless spaciou…WebBeds]",51,"Overlooking stretches of unspoiled beach, find your heaven on Sri Lankas eastern coast. Set amidst the beautiful shores of Pasikudah Bay, Amaya Beach Resort & Spa Sri Lanka with its ever attentive staff, large guest rooms, suites and endless spaciou…WebBeds","'https://content.r9cdn.net/rimg/himg/5d/3a/71/expediav2-547983-6365a6-850673.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/01/55/4e/expediav2-547983-50fe74-868916.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ef/95/ab/expediav2-547983-2364497414-223620.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f8/1b/0a/expediav2-547983-727214030-762101.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Karpaha Sands,kalkudah,7,"Snorkeling,Outdoor pool,Beachfront,Spa and wellness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Coffee machine,Free parking,[With a stay at Elysium in Unawatuna (Talpe), youll be minutes from Mihiripenna Beach and close to Unawatuna Beach. This 4.5-star hotel is within close proximity of Yatagala Raja Maha Viharaya and Japanese Peace Pagoda.Rooms Make yourself at home in …SemboRead more]",153,"With a stay at Elysium in Unawatuna (Talpe), youll be minutes from Mihiripenna Beach and close to Unawatuna Beach. This 4.5-star hotel is within close proximity of Yatagala Raja Maha Viharaya and Japanese Peace Pagoda.Rooms Make yourself at home in …SemboRead more","'https://content.r9cdn.net/rimg/himg/9c/19/f2/expediav2-2252775-1996582199-949838.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/61/bf/33/expediav2-2252775-1cba95-524520.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0b/01/c3/expediav2-2252775-8ea46e-460778.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/94/fc/16/expediav2-2252775-f275cf-216568.jpg?width=1020&height=1020&xhint=500&yhint=378&crop=true&watermarkheight=28&watermarkpadding=10'",4,
